Rank,Name,Number Of Employees,Change In Rank,Industry,Company Description,Revenues_millions,Revenue_Change,Profits_millions,Profit_Change,"Assets
($millions)","Market Value
As of 3/31/20 ($m)"
937,Mantech International,8900,62,Information Technology & Services,"Mantech International Corporation Delivers A Variety Of Information Technology And Technical Services To United States Federal Government Customers. The Company Focuses On Critical National Defense Programs For The Intelligence Community And Department Of Defense. Mantech Designs, Develops, And Operates Enterprise Information Technology And Communication Systems And Infrastructures.","$2,223",13.50%,$113.90,38.70%,"$2,108","$2,920"
938,Summit Materials,6000,21,Materials,"Summit Materials, Inc. Provides Construction Materials. The Company Offers Cement, Asphalt, Ready Mix Concrete, And Other Aggregates, As Well As Delivery, Trucking, And Paving Services. Summit Materials Serves Customers In The United States.","$2,222",5.80%,$59.10,74.20%,"$4,068","$1,700"
939,Amn Healthcare Services,3236,11,Industrial Services,"Amn Healthcare Services, Inc. Operates As A Temporary Healthcare Staffing Company. The Company Provides Travel Nurse Staffing Services. Amn Healthcare Services Places Nurses And Allied Health Professionals On Temporary Assignments At Hospitals And Healthcare Facilities Throughout The United States.","$2,222",4.00%,$114.00,-19.60%,"$1,932","$2,709"
940,Groupon,6345,-107,Internet,"Groupon Provides A Global Marketplace Where People Can Buy Just About Anything, Anywhere, Anytime. We’re Enabling Real-time Commerce Across An Expanding Range Of Categories Including Local Businesses, Travel Destinations, Consumer Products, And Live Or Lively Events.","$2,219",-15.80%,-$22.40,-,"$1,587",$556
941,Newmark Group,5600,32,Real Estate,"Newmark Group, Inc. Operates As A Commercial Real Estate Advisory Firm. The Company Offers A Full Suite Of Services And Products Which Includes Investment Sales, Debt And Structured Finance And Loan Sales, Agency Leasing, Property Management, Valuation And Advisory, And Loan Servicing. Newmark Group Serves Customers In The United States.","$2,218",8.30%,$117.30,9.90%,"$3,202",$754
942,Fossil Group,10200,-95,Consumer Discretionary Products,"Fossil Group, Inc. Designs, Develops, Markets, And Distributes Consumer Fashion Accessories. The Company's Products Include An Extensive Line Of Men And Women Fashion Watches And Jewelry Sold Under Proprietary And Licensed Brands, Handbags, Small Leather Goods, Belts, Sunglasses, And Apparel.","$2,218",-12.70%,-$52.40,-,"$1,605",$166
943,Modine Manufacturing,12200,15,Consumer Discretionary Products,"Modine Manufacturing Company Manufactures Heat-transfer And Heat-storage Technology Products. The Company Develops, Manufactures, And Markets Heat Exchangers And Systems For Use In Various Original Equipment Manufacturer Applications And For Sale To The Automotive Aftermarket And To A Wide Array Of Building Markets.","$2,213",5.20%,$84.80,282.00%,"$1,538",$165
944,Griffon Corporation,7300,2,Multinational Conglomerate Company,"Griffon Is A Diversified Management And Holding Company That Conducts Business Through Wholly-owned Subsidiaries. Griffon Oversees The Operations Of Its Subsidiaries, Allocates Resources Among Them And Manages Their Capital Structures.","$2,209",3.00%,$37.30,-70.30%,"$2,075",$593
945,Cypress Semiconductor,5871,-84,Semiconductor Manufacturing Company,Cypress Semiconductor Corporation Is An American Semiconductor Design And Manufacturing Company.,"$2,205",-11.20%,$40.40,-88.60%,"$3,556","$8,713"
946,Generac Holdings,5551,33,Manufacturing Company,"Generac Holdings Is A Leading Manufacturer Of Engine-driven Stationary Standby And Portable Generators For Residential, Commercial, And Industrial Applications.","$2,204",8.90%,$252.00,5.80%,"$2,666","$5,829"
947,Matson,1988,-23,Transportation/trucking/railroad,"Matson Navigation Company, Inc. Provides Ocean Shipping And Multimodal Transportation Services. The Company Offers Ocean, Intermodal, And Logistics Transportation Services. Matson Navigation Serves Customers In The United States.","$2,203",-0.90%,$82.70,-24.10%,"$2,845","$1,318"
948,Genesco,13850,-167,Retail & Whsle - Discretionary,"Genesco Inc. Retails Branded Footwear, Licensed And Branded Headwear, And Wholesales Branded Footwear. The Company Operates Stores Throughout The United States, Puerto Rico, And Canada.","$2,197",-24.50%,$61.40,-,"$1,681",$196
949,Nordson,7579,-30,Machinery,"Nordson Corporation Is An American Multinational Corporation That Designs And Manufactures Dispensing Equipment For Consumer And Industrial Adhesives, Sealants And Coatings.","$2,194",-2.70%,$337.10,-10.70%,"$3,516","$7,815"
950,Newmarket,2118,-45,Materials,"Newmarket Corporation Is A Publicly Traded, Company That Primarily Serves The Petroleum Additives Industry.","$2,190",-4.30%,$254.30,8.30%,"$1,885","$4,284"
951,Echo Global Logistics,2539,-80,Logistics & Supply Chain,"Echo Offers Freight Brokerage And Managed Transportation Solutions For All Major Modes, Including Truckload, Partial Truckload, Ltl, Intermodal, And Expedited.","$2,185",-10.40%,$14.80,-48.30%,$827,$458
952,Rexnord,6700,18,Machinery,"Rexnord Products And Services Enhance The Reliability Of Equipment Used Worldwide, Supporting Industries Such As Transportation, Mining, Energy, Food & Beverage.","$2,175",5.30%,$34.30,-54.80%,"$3,260","$2,761"
953,Incyte,1456,-,Pharmaceutical Company,"Incyte Corp Is An American Pharmaceutical Company Based In Alapocas, Delaware.","$2,159",14.70%,$446.90,308.20%,"$3,427","$15,875"
954,Fortinet,7082,-,Cybersecurity Company,"Fortinet Is A Provider Of Network Security Appliances That Include Firewalls, Security Gateways, And Complementary Products.","$2,156",19.70%,$326.50,-1.70%,"$3,886","$17,453"
955,Foundation Building Materials,3500,-53,Building Materials,Foundation Building Materials (fbm) Is A Leading North American Distributor Of Building Materials Focused On Meeting And Exceeding The Needs Of Local Construction Trades With Best-in-class Products And Services.,"$2,155",-6.90%,$40.20,-,"$1,412",$445
956,Aar,5650,-,Aviation; Aerospace & Defense,"Aar Corp. Supplies Aftermarket Products And Services To The Global Aviation And Aerospace Industry. The Company Purchases, Sells, And Leases New And Used Commercial Jet Aircraft, As Well As Leases A Variety Of New, Overhauled, And Repaired Engines And Engine Products For The Aviation Aftermarket. Aar Operates Worldwide.","$2,148",16.40%,$7.50,-51.90%,"$1,517",$623
957,Centric Brands,3250,-,Apparel Industry,"Centric Brands Llc Designs, Develops, And Markets Apparel Products. The Company Offers Men's Sport Shirts, Knits, Sweaters, Polos, T-shirts, Denim Jeans, Bottoms, Shorts, Sport Coats, Outerwear, And Swimwear Products, As Well As Focuses On Sales And Licensing Of Apparel Products And Accessories. Centric Brands Serves Customers Worldwide.","$2,147",259.80%,-$273.50,-,"$2,155",$66
958,Edgewell Personal Care,6000,-35,Consumer Staple Products,"Energizer Personal Care, Llc Was Founded In 2008. The Company's Line Of Business Includes The Manufacturing Of Perfumes, Cosmetics, And Other Toilet Preparations.","$2,141",-4.20%,-$372.20,-460.30%,"$3,421","$1,308"
959,Federated Mutual Insurance,2638,-,Insurance Company,Federated Mutual Insurance Company Provides Insurance Services.,"$2,135",11.00%,$229.60,4.00%,"$8,825",-
960,Schnitzer Steel Industries,3363,-71,Metal Industry,"Schnitzer Steel Industries, Inc. Is An American Steel Manufacturing And Scrap Metal Recycling Company.","$2,133",-9.80%,$56.30,-64.00%,"$1,161",$354
961,Portland General Electric,2949,31,Public Utility,"It Distributes Electricity To Customers In Parts Of Multnomah, Clackamas, Marion, Yamhill, Washington, And Polk Counties - 44% Of The Inhabitants Of Oregon","$2,123",6.60%,$214.00,0.90%,"$8,394","$4,289"
962,Gray Television,7465,-,Television Broadcasting Company,"Gray Television Is A Media Company Headquartered In Atlanta, Georgia. The Company Owns And Operates Television Stations And Leading Digital Properties In 93 Television Markets, Including The Number-one Rated Television Station In 68 Markets And The First Or Second Highest Rated Television Station In 87 Markets","$2,122",95.70%,$179.00,-15.10%,"$6,972","$1,072"
963,Bgc Partners,5200,-,Financial Services,Bgc Partners Is A Pioneering Global Brokerage And Financial Technology Company .,"$2,104",8.60%,$55.70,-71.80%,"$3,916",$894
964,Echostar,2300,-3,Satellite Communication,"Echostar Corporation Is An American Company, A Worldwide Provider Of Satellite Communication And Internet Services Through Its Hughes Network Systems And Echostar Satellite Services Business Segments. Prior To 2008, It Operated The Dish Network Service Brand, Which Was Spun Off As Dish","$2,098",0.30%,-$62.90,-,"$7,154","$3,127"
965,Beazer Homes Usa,1205,-9,Home Construction,"Beazer Homes Usa, Inc. Is A Home Construction Company Based In Atlanta, Georgia. In 2016, The Company Was The 11th Largest Home Builder In The United States Based On The Number Of Homes Closed. The Company Operates In 13 States. As Of December 31, 2016, The Company Had 161 Active Communities","$2,088",-0.90%,-$79.50,-,"$1,958",$202
966,Lhc Group,22785,-,Healthcare Services,"Lhc Group Is A Leading National Provider Of In-home Healthcare Services With 32,000 Employees Operating In 35 States And The District Of Columbia – Reaching 60 Percent Of The U.s. Population Aged 65 And Older. They Provide High-quality Care To Patients Through Our Home Health, Hospice, Home And Community Based Services, And Facility-based Care.","$2,080",14.90%,$95.70,50.60%,"$2,140","$4,420"
967,Servicemaster Global Holdings,12000,-,Essential Home And Commercial Service,"Backed By Industry-leading Brands, Servicemaster Has Provided Essential Home And Commercial Services For 90 Years. Amerispec. Furniture Medic. Merry Maids. Servicemaster Clean. Servicemaster Restore.","$2,077",9.30%,$128.00,-,"$5,322","$3,657"
968,Bruker,7230,-,Cientific Instruments Manufacturer,"Bruker Corporation Is An American Manufacturer Of Scientific Instruments For Molecular And Materials Research, As Well As For Industrial And Applied Analysis","$2,073",9.30%,$197.20,9.70%,"$2,772","$5,530"
969,Oasis Petroleum,609,-70,Oil And Gas,Oasis Petroleum Is A Company Engaged In Hydrocarbon Exploration And Hydraulic Fracturing In The Williston Basin As Well As In The Delaware Basin Of The Permian Basin In West Texas.,"$2,072",-10.80%,-$128.20,-,"$7,499",$113
970,Crossamerica Partners,548,-,Oil And Gas ; Real Estate,Crossamerica Partners Lp Is A Nyse Wholesale Distributor Of Motor Fuels And Lessor Of Real Estate For Fuel Retailers Throughout The Northeastern United States,"$2,071",-11.80%,$18.10,244.20%,$905,$298
971,Myr Group,7100,-,Electrical Construction Services,Myr Group Inc. (myr Group) Subsidiaries Provide Large-scale Electrical Construction Services Throughout The U.s. And Western Canada. They Have Delivered Some Of The Largest Electrical Infrastructure And Notable Commercial And Industrial Projects And Have Been Consistently Recognized As One Of The Top Five Specialty Electrical Contracting Firms By Engineering News-record.,"$2,071",35.30%,$37.70,21.20%,"$1,008",$436
972,Viasat,5600,-,Communications Company,Viasat Inc. Is An American Communications Company With Additional Operations Across The United States And Worldwide. Viasat Is A Provider Of High-speed Satellite Broadband Services And Secure Networking Systems Covering Military And Commercial Markets.,"$2,068",29.70%,-$67.60,-,"$3,915","$2,232"
973,Gnc Holdings,8400,-82,Nutrition Supplements,"Gnc Holdings, Inc. Is A Company Selling Health And Nutrition Related Products, Including Vitamins, Supplements, Minerals, Herbs, Sports Nutrition, Diet, And Energy Products.","$2,068",-12.10%,-$35.10,-150.30%,"$1,651",$40
974,Cabot Oil & Gas,547,-41,Oil And Gas,Cabot Oil & Gas Corporation Is A Company Engaged In Hydrocarbon Exploration. It Is Organized In Delaware And Based In Houston,"$2,066",-5.60%,$681.10,22.30%,"$4,487","$6,852"
975,Bright Horizons Family Solutions,33800,-,Child-care Provider,"Bright Horizons Is A United States–based Child-care Provider And Is The Largest Provider Of Employer-sponsored Child Care. It Also Provides Back-up Child Care And Elder Care, Tuition Program Management, Education Advising, And Student Loan Repayment Programs.","$2,062",8.30%,$180.40,14.20%,"$3,330","$5,936"
976,Vista Outdoor,5200,-73,Sporting Goods,"Vista Outdoor Is An American Firm That Designs, Manufactures, And Markets Sporting Goods. It Operates In Two Markets: Shooting Sports And Outdoor Products. It Is A ""house Of Brands"" With More Than 40 Labels And Subsidiaries.","$2,059",-10.80%,-$648.40,-,"$1,738",$509
977,Heico,5900,-,Aerospace,"Heico Corporation Is An Aerospace And Electronics Company That Focuses On Niche Markets. Heico’s Products Are Found In Aircraft, Spacecraft, Defense Equipment, Medical Equipment, And Telecommunications Systems.","$2,056",15.60%,$327.90,26.50%,"$2,969","$9,185"
978,Wyndham Hotels & Resorts,14200,-,Hotel,"Wyndham Hotels & Resorts, Inc. Is A Hotel Company Based In Parsippany, New Jersey. It Describes Itself As The Largest Hotel Franchisor In The World, With 9,280 Locations. It Has A Portfolio Of 20 Hotel Brands, Including Baymont, Days Inn, Howard Johnson, La Quinta, Ramada, Super 8, Travelodge, And Wyndham","$2,053",-,$157.00,-,"$4,533","$2,934"
979,Tcf Financial,7732,-,Financial Holding,"Tcf Financial Corporation Is A Detroit, Michigan-based Financial Holding Company With $48 Billion In Total Assets At September 30, 2020 And A Top 10 Deposit Market Share In The Midwest. Tcf’s Primary Banking Subsidiary, Tcf National Bank, Is A Premier Midwest Bank Offering Consumer And Commercial Banking, Trust And Wealth Management, And Specialty Leasing And Lending Products And Services To Consumers, Small Businesses And Commercial Clients. Tcf Has Approximately 475 Banking Centers.","$2,053",27.30%,$295.50,-2.90%,"$46,652","$3,451"
980,Primerica,2502,-,Insurance,"Primerica, Inc. Is An Insurance And Financial Services Company That Uses Multi-level Marketing To Sell Financial Products And Services. The Company Primarily Sells Term Life Insurance, As Well As Mutual Funds, Annuities, Segregated Funds, Managed Accounts, Long-term Care Insurance, Pre-paid Legal Services, Auto Insurance, Home Insurance, Credit Monitoring And Debt Management Plans.","$2,053",8.00%,$366.40,13.10%,"$13,689","$3,637"
981,Propetro Holding,1579,-,Oil And Gas,Propetro Holding Corp. Is An Oilfield Services Company. The Company Provides Hydraulic Fracturing And Other Complementary Services To Upstream Oil And Gas Companies Engaged In The Exploration And Production Of North American Unconventional Oil And Natural Gas Resources.,"$2,052",20.40%,$163.00,-6.20%,"$1,436",$252
